,Keyword,Status,Page,Title,Link,Id,Date,Facebook Link,Image,Video
0,dog,Active,"Devin's Dog Days
Sponsored","The perfect Collar Accessories for you Spooky Pups & Kitties! Visit DevinsDogDays.com to get your Halloween Vibes on 👻🖤🎃
.
.
#halloween #halloweencostume #halloweendecor #halloweencostumes #halloweenspirit #halloweenlover #spooky #spookyseason #spooktacular #halloweendog #halloweendogs #halloweencatsofinstagram #halloweencat #halloweencats #spiders #spiderwebs #petaccessories #petapparel #petcostume",DEVINSDOGDAYS.COM,ID: 423394039774112,"Started running on Sep 1, 2022",https://www.facebook.com/DevinsDogDays/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/304969645_1118645698762163_1233138906892529702_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=94hl23hUM1MAX9jr79n&_nc_ht=scontent.fktm6-1.fna&oh=00_AT-28xpuA9j4gNYHVVS8icVJDGlWPUTl1SYsIc9Bes8pIw&oe=63162A2F,
1,dog,Active,"The Farmer's Dog
Sponsored","Life, liberty, and the pursuit of healthiness.",,ID: 404634408407779,"Started running on Sep 1, 2022",https://www.facebook.com/thefarmersdog/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/301624739_645729860062346_4846071784567452097_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=2dmfZmsnIFgAX_fSoub&_nc_ht=scontent.fktm6-1.fna&oh=00_AT_J9xIYxYcLXrQ6PQmzN8wjz_w1EKv8lKZnbeyWl1dbsQ&oe=6316C728,
2,dog,Active,"DOG BABY
Sponsored","🔥END OF SUMMER SALE🔥

Our best clothing, gear, and toys are 30% - 50% OFF. Get them while they're hot!

When they're gone, they're GONE 👋🏻",DOGBABYCOLLECTION.COM,ID: 495829252363624,"Started running on Sep 1, 2022",https://facebook.com/DOGBABYCollection,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/303112069_495829289030287_2151545992920849071_n.?_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=aEn2__fgXlQAX_Wc52j&_nc_ht=video.fktm6-1.fna&oh=00_AT_zXQfl6o8JkXAZiRnaI1siVeZ2wILR_6KDiEsIvny7Dw&oe=631185F8
3,dog,Active,"DOG BABY
Sponsored","🔥END OF SUMMER SALE🔥

Our best clothing, gear, and toys are 30% - 50% OFF. Get them while they're hot!

When they're gone, they're GONE 👋🏻",DOGBABYCOLLECTION.COM,ID: 419359576746289,"Started running on Sep 1, 2022",https://facebook.com/DOGBABYCollection,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/304972849_419359616746285_6354115027616037462_n.?_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=dUaVqmAr_mcAX9bETJi&_nc_ht=video.fktm6-1.fna&oh=00_AT8YYeEuvsKpNGtiqxpkf78b3BuVwRrFa37J2fmjVl5o0Q&oe=63118BFB
4,dog,Active,"LUCKY + DOG
Sponsored",We're pretty sure our beautiful collars will make your neighbor's dog jealous.,LUCKYPLUSDOG.COM,ID: 465762628571893,"Started running on Sep 1, 2022",https://facebook.com/luckyplusdog,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/297958730_794281415072517_5702315463837762584_n.jpg?stp=dst-jpg_s600x600&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=-Mhs0dDvJWIAX8POvO9&_nc_oc=AQlzzeFB3Z6oiE7jRdrcYk7XX_L8yF4i1d26rHLhQOcFiCZQ44RBIsRhBIemBiT1EKk&_nc_ht=scontent.fktm6-1.fna&oh=00_AT81D886QgPZBAJbXWK7z43gFYIIuMNT88NmtGQl4OIEyw&oe=63163416,
5,dog,Active,"Dog Heaven Co.
Sponsored","This blanket is better than my $125 dog bed and so comfortable!

Your dog is sure to love you after you click “SHOP NOW”",DOGHEAVEN.CO,ID: 3405310323025605,"Started running on Sep 1, 2022",https://facebook.com/DogHeaven.co,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/304858060_3405310376358933_3564517268174966909_n.?_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=GTGlvPscn2oAX8c8fh8&_nc_ht=video.fktm6-1.fna&oh=00_AT89er0yRiW-IaFbUxF8zSdYJdctgNHW7d40wuAsTJWhtg&oe=63118960
6,dog,Active,"Dog Heaven Co.
Sponsored","Introducing our popular Cloud Blanket 🐾

Cloud-like comfort for your dog while protecting furniture, car seats, dog beds, and other areas from pet hair, dirt, spills, and more!

Get the Cloud Blanket before we sell out here 👇",DOGHEAVEN.CO,ID: 3099662300278320,"Started running on Sep 1, 2022",https://facebook.com/DogHeaven.co,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/302052983_1704647786558958_6910640192714556165_n.jpg?stp=dst-jpg_s600x600&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=NbtEA5vvldQAX94Mm0_&_nc_ht=scontent.fktm6-1.fna&oh=00_AT_184I7KThLkNnmmChYthajaHukgqxyktb39Vq8bO0xZw&oe=6317051A,
7,dog,Active,"Dog Heaven Co.
Sponsored","ARE YOU A DOG LOVER?

Get cloud-like comfort for your dog all while protecting furniture, car seats, dog beds, and other areas from pet hair, dirt, spills, and more!

☁️ Cloud-like comfort
💦 Machine washable
🐶 Stress relief for your fur baby
🚗 Portable place for your pup to lay down

Get the Cloud Blanket before we sell out here 👇",DOGHEAVEN.CO,ID: 796297161687759,"Started running on Sep 1, 2022",https://facebook.com/DogHeaven.co,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/303104771_796297285021080_2247302972341862678_n.?_nc_cat=100&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=vvQlQUktr48AX8VCRVs&_nc_ht=video.fktm6-1.fna&oh=00_AT_9DQqVyIGbL_3z7bGyWBNOTvswq7-eGwMMtso1_GGpdA&oe=6311870E
8,dog,Active,"Dog Heaven Co.
Sponsored","Introducing our popular Cloud Blanket 🐾

Cloud-like comfort for your dog while protecting furniture, car seats, dog beds, and other areas from pet hair, dirt, spills, and more!

Get the Cloud Blanket before we sell out here 👇",DOGHEAVEN.CO,ID: 753346852391145,"Started running on Sep 1, 2022",https://facebook.com/DogHeaven.co,,https://video.fktm6-1.fna.fbcdn.net/v/t42.1790-2/302576443_753346892391141_2232534514986329045_n.?_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=zY_D7y3ns4YAX8HC5fF&_nc_ht=video.fktm6-1.fna&oh=00_AT-KQNPX0OYhErpBBtcEiEQiHG2RMDjXLNI6GaqtXqFu2Q&oe=6311860B
9,dog,Active,"Dog for dog
Sponsored","There's nothing better than soft and tasty snack 🐶
👨‍🔬 Backed by science
☺️ Developed with care
💯 Satisfaction guaranteed
❤️ Every purchase feeds shelter dogs",DOGFORDOG.COM,ID: 377417197891488,"Started running on Sep 1, 2022",https://www.facebook.com/Dogfordog/,https://scontent.fktm6-1.fna.fbcdn.net/v/t39.35426-6/303051425_790285152165087_205346590119347275_n.jpg?stp=dst-jpg_s600x600&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=Vx65HCbzj6gAX_89lJ5&_nc_ht=scontent.fktm6-1.fna&oh=00_AT8pI7XavsUY_xYCwh3PzmDYF0jf-FLg2q5KCjKcgEXS7A&oe=6315BE25,
